Job Class,Percentage,Link
Management,6.1,https://goo.gl/BnRrSE
Business and Financial operations,5,https://goo.gl/f7haeA
Computer and Mathematical,2.7,https://goo.gl/oF4pAB
Architecture and Engineering,1.7,https://goo.gl/p3xSbu
"Life, Physical and Social Science",0.9,https://goo.gl/daSPmF
Community and Social Service,1.6,https://goo.gl/KBEpPt
Legal,0.8,https://goo.gl/5G6Gkj
"Education, training and library",6.1,https://goo.gl/snAsvJ
"Arts, design, entertainment, sports and media",1.7,https://goo.gl/Lppa9n
Healthcare practioners and technical,5.5,https://goo.gl/TDnVaS
Healthcare support,2.8,https://goo.gl/cmFTnj
Protective service,2.3,https://goo.gl/3L6gK4
Food preparation and serving,8.3,https://goo.gl/XigJc2
Building and grounds cleaning and maintenance,3.7,https://goo.gl/F3ioRM
Personal care and service,4,https://goo.gl/uxQ5uk
Sales,10.2,https://goo.gl/Una27E
Office and administrative support,15.1,https://goo.gl/bCSdeM
"Farming, fishing and forestry",0.6,https://goo.gl/KBLVSJ
Construction and extraction,4.3,https://goo.gl/rzDwkZ
"Installation, maintenance and repair",3.8,https://goo.gl/TRxVJT
Production,6.1,https://goo.gl/aVtMDS
Transportation and material moving,6.5,https://goo.gl/Zu3Jnf
Total,99.8,http://google.com
